ID: 0; Richiesta: 6; OreRichieste: 20; Offerta: 7; OreOfferte: 20; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 13:17:28
ID: 1; Richiesta: 7; OreRichieste: 20; Offerta: 8; OreOfferte: 12; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 13:17:44
ID: 2; Richiesta: 8; OreRichieste: 12; Offerta: 6; OreOfferte: 21; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 13:17:58
ID: 3; Richiesta: 10; OreRichieste: 20; Offerta: 11; OreOfferte: 26; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:22:28
ID: 3; Richiesta: 10; OreRichieste: 20; Offerta: 11; OreOfferte: 26; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 14:22:39
ID: 4; Richiesta: 11; OreRichieste: 26; Offerta: 10; OreOfferte: 20; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:22:39
ID: 4; Richiesta: 11; OreRichieste: 26; Offerta: 10; OreOfferte: 20; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 14:22:39
ID: 5; Richiesta: 0; OreRichieste: 20; Offerta: 1; OreOfferte: 29; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:26:42
ID: 6; Richiesta: 1; OreRichieste: 29; Offerta: 6; OreOfferte: 15; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:27:01
ID: 7; Richiesta: 6; OreRichieste: 15; Offerta: 0; OreOfferte: 23; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:27:17
ID: 8; Richiesta: 5; OreRichieste: 10; Offerta: 6; OreOfferte: 9; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:38:05
ID: 8; Richiesta: 5; OreRichieste: 10; Offerta: 6; OreOfferte: 9; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 14:38:29
ID: 9; Richiesta: 6; OreRichieste: 9; Offerta: 7; OreOfferte: 9; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:38:18
ID: 9; Richiesta: 6; OreRichieste: 9; Offerta: 7; OreOfferte: 9; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 14:38:29
ID: 10; Richiesta: 7; OreRichieste: 9; Offerta: 5; OreOfferte: 10; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:38:29
ID: 10; Richiesta: 7; OreRichieste: 9; Offerta: 5; OreOfferte: 10; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 14:38:29
ID: 11; Richiesta: 13; OreRichieste: 10; Offerta: 12; OreOfferte: 20; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:39:51
ID: 12; Richiesta: 12; OreRichieste: 20; Offerta: 11; OreOfferte: 16; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:40:04
ID: 13; Richiesta: 11; OreRichieste: 16; Offerta: 13; OreOfferte: 8; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:40:32
ID: 13; Richiesta: 11; OreRichieste: 16; Offerta: 13; OreOfferte: 8; Stato: ritirata; IdFruitore: 0; Ora: 04-11-2024 14:40:32
ID: 14; Richiesta: 1; OreRichieste: 10; Offerta: 2; OreOfferte: 8; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:41:02
ID: 14; Richiesta: 1; OreRichieste: 10; Offerta: 2; OreOfferte: 8; Stato: ritirata; IdFruitore: 0; Ora: 04-11-2024 14:41:02
ID: 15; Richiesta: 2; OreRichieste: 8; Offerta: 4; OreOfferte: 4; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:41:22
ID: 16; Richiesta: 4; OreRichieste: 4; Offerta: 1; OreOfferte: 8; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:41:46
ID: 17; Richiesta: 6; OreRichieste: 10; Offerta: 7; OreOfferte: 10; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:43:24
ID: 17; Richiesta: 6; OreRichieste: 10; Offerta: 7; OreOfferte: 10; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 14:43:49
ID: 18; Richiesta: 7; OreRichieste: 10; Offerta: 8; OreOfferte: 6; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:43:38
ID: 18; Richiesta: 7; OreRichieste: 10; Offerta: 8; OreOfferte: 6; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 14:43:49
ID: 19; Richiesta: 8; OreRichieste: 6; Offerta: 6; OreOfferte: 10; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 14:43:49
ID: 19; Richiesta: 8; OreRichieste: 6; Offerta: 6; OreOfferte: 10; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 14:43:49
ID: 20; Richiesta: 10; OreRichieste: 16; Offerta: 6; OreOfferte: 11; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 21:35:00
ID: 20; Richiesta: 10; OreRichieste: 16; Offerta: 6; OreOfferte: 11; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 21:35:23
ID: 21; Richiesta: 6; OreRichieste: 11; Offerta: 10; OreOfferte: 16; Stato: aperta; IdFruitore: 0; Ora: 04-11-2024 21:35:23
ID: 21; Richiesta: 6; OreRichieste: 11; Offerta: 10; OreOfferte: 16; Stato: chiusa; IdFruitore: 0; Ora: 04-11-2024 21:35:23
